"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Christian McCaffrey","CAR","RB1","13","1","2","1.1","0.3","1.0","0.0"
"2","1","","Saquon Barkley","NYG","RB2","11","1","5","2.5","1.0","2.0","0.0"
"3","1","","Michael Thomas","NO","WR1","6","3","8","3.3","1.0","3.0","0.0"
"4","1","","Alvin Kamara","NO","RB3","6","1","10","4.3","1.5","4.0","0.0"
"5","1","","Ezekiel Elliott","DAL","RB4","10","2","9","4.3","0.8","5.0","0.0"
"6","2","","Dalvin Cook","MIN","RB5","7","2","23","7.4","3.5","6.0","0.0"
"7","2","","Davante Adams","GB","WR2","5","3","13","8.9","1.9","8.0","+1.0"
"8","2","","Derrick Henry","TEN","RB6","7","5","28","10.5","6.4","7.0","-1.0"
"9","2","","Joe Mixon","CIN","RB7","9","5","28","10.8","5.0","10.0","+1.0"
"10","2","","Julio Jones","ATL","WR3","10","7","19","11.4","2.0","12.0","+2.0"
"11","2","","Tyreek Hill","KC","WR4","10","8","36","11.7","2.2","11.0","0.0"
"12","3","","DeAndre Hopkins","ARI","WR5","8","8","29","13.8","3.3","9.0","-3.0"
"13","3","","Kenyan Drake","ARI","RB8","8","6","51","15.4","8.5","14.0","+1.0"
"14","3","","Chris Godwin","TB","WR6","13","11","48","15.9","4.2","17.0","+3.0"
"15","3","","Austin Ekeler","LAC","RB9","10","4","47","16.3","8.0","15.0","0.0"
"16","3","","Travis Kelce","KC","TE1","10","13","24","17.2","0.6","20.0","+4.0"
"17","3","","George Kittle","SF","TE2","11","16","46","18.4","2.1","22.0","+5.0"
"18","3","","Miles Sanders","PHI","RB10","9","6","44","19.7","7.7","19.0","+1.0"
"19","4","","Josh Jacobs","LV","RB11","6","6","47","22.3","6.7","13.0","-6.0"
"20","4","","Allen Robinson","CHI","WR7","11","12","48","22.4","7.5","29.0","+9.0"
"21","4","","Aaron Jones","GB","RB12","5","9","45","23.0","7.0","16.0","-5.0"
"22","4","","Nick Chubb","CLE","RB13","9","6","51","23.1","6.7","18.0","-4.0"
"23","4","","Kenny Golladay","DET","WR8","5","13","40","24.0","6.2","24.0","+1.0"
"24","4","","Mike Evans","TB","WR9","13","12","62","26.7","7.0","25.0","+1.0"
"25","4","","Patrick Mahomes","KC","QB1","10","18","54","28.6","9.4","23.0","-2.0"
"26","4","","D.J. Moore","CAR","WR10","13","15","55","29.3","7.2","30.0","+4.0"
"27","4","","JuJu Smith-Schuster","PIT","WR11","8","15","65","29.7","6.6","33.0","+6.0"
"28","4","","Lamar Jackson","BAL","QB2","8","8","61","30.1","10.8","21.0","-7.0"
"29","4","","Odell Beckham Jr.","CLE","WR12","9","13","50","30.5","6.7","31.0","+2.0"
"30","4","","Amari Cooper","DAL","WR13","10","16","50","31.5","6.6","34.0","+4.0"
"31","4","","Clyde Edwards-Helaire","KC","RB14","10","10","89","31.7","14.7","26.0","-5.0"
"32","4","","Zach Ertz","PHI","TE3","9","25","78","33.1","11.8","40.0","+8.0"
"33","4","","Adam Thielen","MIN","WR14","7","16","81","33.4","7.3","32.0","-1.0"
"34","5","","Todd Gurley","ATL","RB15","10","14","80","34.2","10.0","27.0","-7.0"
"35","5","","Leonard Fournette","JAC","RB16","7","7","83","35.1","14.4","28.0","-7.0"
"36","5","","Cooper Kupp","LAR","WR15","9","15","80","35.3","11.0","39.0","+3.0"
"37","5","","Robert Woods","LAR","WR16","9","16","64","37.5","8.8","46.0","+9.0"
"38","5","","Calvin Ridley","ATL","WR17","10","25","75","38.6","7.5","44.0","+6.0"
"39","5","","Chris Carson","SEA","RB17","6","20","68","41.1","9.3","36.0","-3.0"
"40","5","","Melvin Gordon","DEN","RB18","8","14","88","41.3","9.8","35.0","-5.0"
